course_code,course_title,credits_count,description,requisites,time_and_place_list,location,honors,core
ARO-1011,Heritage/Values USAF I,1,"A survey course designed to introduce cadets to the United States Air Force and provides an overview of the basic characteristics, missions, and organization of the Air Force. Accompanying the classroom instruction, leadership labs ARO 1011L and ARO 1021L provide hands-on application of classroom topics and further introduction to Air Force opportunities in an environment that illustrates the basic structure of the Air Force. Standard physical fitness regimen and testing are also required. One hour of classroom and two hours of lab per week.",ARO 1011L - Must be taken at the same time as this course.,"Fall Semester, Each Year",University of Arkansas,0,0
ARO-1011L,Heritage/Values USAF I: Lab,0,Lab for ARO 1011.,ARO 1011 - Must be taken at the same time as this course.,"Fall Semester, Each Year",University of Arkansas,0,0
ARO-1021,Heritage/Values USAF II,1,"A survey course designed to introduce cadets to the United States Air Force and provides an overview of the basic characteristics, missions, and organization of the Air Force. Accompanying the classroom instruction, leadership labs ARO 1011L and ARO 1021L provide hands-on application of classroom topics and further introduction to Air Force opportunities in an environment that illustrates the basic structure of the Air Force. Standard physical fitness regimen and testing are also required. One hour of classroom and two hours of lab per week.","ARO 1011 - Must be completed prior to taking this course., ARO 1021L - Must be taken at the same time as this course.","Spring Semester, Each Year",University of Arkansas,0,0
ARO-1021L,Heritage/Values USAF II: Lab,0,Lab for ARO 1021.,ARO 1021 - Must be taken at the same time as this course.,"Spring Semester, Each Year",University of Arkansas,0,0
ARO-2011,Team/Ldr Fundamentals I,1,"This course focuses on laying the foundation for teams and leadership. The topics include skills that will allow cadets to improve their leadership on a personal level and within a team. The course will prepare cadets for their field training experience where they will be able to put the concepts learned into practice. The purpose is to instill a leadership mindset and to motivate sophomore students to transition from AFROTC cadet to AFROTC officer candidate. Accompanying the classroom instruction, leadership labs ARO 2011L and ARO 2021L provide hands-on application of classroom topics and further introduction to Air Force opportunities in an environment that illustrates the basic structure of the Air Force. Standard physical fitness regimen and testing are also required. One hour of classroom and two hours of lab per week.","ARO 1021 - Must be completed prior to taking this course., ARO 2011L - Must be taken at the same time as this course.","Fall Semester, Each Year",University of Arkansas,0,0
ARO-2011L,Team/Ldr Fundamentals I: Lab,0,Lab for ARO 2011.,ARO 2011 - Must be taken at the same time as this course.,"Fall Semester, Each Year",University of Arkansas,0,0
ARO-2021,Team/Ldr Fundamentals II,1,"This course focuses on laying the foundation for teams and leadership. The topics include skills that will allow cadets to improve their leadership on a personal level and within a team. The course will prepare cadets for their field training experience where they will be able to put the concepts learned into practice. The purpose is to instill a leadership mindset and to motivate sophomore students to transition from AFROTC cadet to AFROTC officer candidate. Accompanying the classroom instruction, leadership labs ARO 2011L and ARO 2021L provide hands-on application of classroom topics and further introduction to Air Force opportunities in an environment that illustrates the basic structure of the Air Force. Standard physical fitness regimen and testing are also required. One hour of classroom and two hours of lab per week.","ARO 2011 - Must be completed prior to taking this course., ARO 2021L - Must be taken at the same time as this course.","Spring Semester, Each Year",University of Arkansas,0,0
ARO-2021L,Team/Ldr Fundamentals II: Lab,0,Lab for ARO 2021.,ARO 2021 - Must be taken at the same time as this course.,"Spring Semester, Each Year",University of Arkansas,0,0
ARO-3013,Ldg People/Eff Comm I,3,"This course teaches cadets advanced skills and knowledge in management and leadership. Special emphasis is placed on enhancing leadership skills and communication. Cadets have an opportunity to try out these leadership and management techniques in a supervised environment as juniors and seniors. Accompanying the classroom instruction, leadership labs ARO 3013L and ARO 3023L offer concrete leadership practice, including the planning and controlling of military activities of the cadet corps, and preparing various communications. Standard fitness regimen and testing are also required. Three hours of classroom and three hours of lab per week. The Whole Person Wellness requirement of the Core Curriculum will be waived upon completion of both ARO 3013 and ARO 3023.","ARO 2021 - Must be completed prior to taking this course., ARO 3013L - Must be taken at the same time as this course.","Fall Semester, Each Year",University of Arkansas,0,1
ARO-3013L,Ldg People/Eff Comm I: Lab,0,Lab for ARO 3013.,ARO 3013 - Must be taken at the same time as this course.,"Fall Semester, Each Year",University of Arkansas,0,0
ARO-3023,Ldg People/Eff Comm II,3,"This course teaches cadets advanced skills and knowledge in management and leadership. Special emphasis is placed on enhancing leadership skills and communication. Cadets have an opportunity to try out these leadership and management techniques in a supervised environment as juniors and seniors. Accompanying the classroom instruction, leadership labs ARO 3013L and ARO 3023L offer concrete leadership practice, including the planning and controlling of military activities of the cadet corps, and preparing various communications. Standard fitness regimen and testing are also required. Three hours of classroom and three hours of lab per week. The Whole Person Wellness requirement of the Core Curriculum will be waived upon completion of both ARO 3013 and ARO 3023.","ARO 3013 - Must be completed prior to taking this course., ARO 3023L - Must be taken at the same time as this course.","Spring Semester, Each Year",University of Arkansas,0,1
ARO-3023L,Ldg People/Eff Comm II: Lab,0,Lab for ARO 3023.,ARO 3023 - Must be taken at the same time as this course.,"Spring Semester, Each Year",University of Arkansas,0,0
ARO-4013,NSA & Prep Act Duty I,3,"This course is designed for college seniors and gives them the foundation to understand their role as military officers in American society. It is an overview of the complex social and political issues facing the military profession and requires a measure of sophistication commensurate with the senior college level. The final semester provides information that will prepare the cadets for Active Duty. Accompanying the classroom instruction, leadership labs ARO 4013L and ARO 4023L include dispensing interviews, guidance, and information, which will increase the understanding, motivation, and performance of other cadets. Physical fitness regimen and testing are also required. Three hours of classroom and three hours of lab per week.","ARO 3023 - Must be completed prior to taking this course., ARO 4013L - Must be taken at the same time as this course.","Fall Semester, Each Year",University of Arkansas,0,0
ARO-4013L,NSA & Prep Act Duty I: Lab,0,Lab for ARO 4013.,ARO 4013 - Must be taken at the same time as this course.,"Fall Semester, Each Year",University of Arkansas,0,0
ARO-4023,NSA & Prep Act Duty II,3,"This course is designed for college seniors and gives them the foundation to understand their role as military officers in American society. It is an overview of the complex social and political issues facing the military profession and requires a measure of sophistication commensurate with the senior college level. The final semester provides information that will prepare the cadets for Active Duty. Accompanying the classroom instruction, leadership labs ARO 4013L and ARO 4023L include dispensing interviews, guidance, and information, which will increase the understanding, motivation, and performance of other cadets. Physical fitness regimen and testing are also required. Three hours of classroom and three hours of lab per week.","ARO 4013 - Must be completed prior to taking this course., ARO 4023L - Must be taken at the same time as this course.","Spring Semester, Each Year",University of Arkansas,0,0
ARO-4023L,NSA & Prep Act Duty II: Lab,0,Lab for ARO 4023.,ARO 4023 - Must be taken at the same time as this course.,"Spring Semester, Each Year",University of Arkansas,0,0
ART-1101,Art As Vocation,1,"This course seeks to build a foundational understanding of art and the artists role in society. Students will actively develop a view-point for making art by investigating personal, historical, and theological aspects of human creativity. A primary goal of the course is provoking students toward the integration of faith and work. This course will be team taught by each professor in the art department with the hope of giving students a multi-disciplinary understanding of art while broadening and deepening their grasp.",None,"Fall Semester, Each Year",Main Campus,0,0
ART-1123,Computer Graphics,3,"Introduction to current professional software programs used in the fields of graphic design, illustration, digital media, and photography. Taught on the Macintosh platform. An additional fee may be associated with this course.",None,"Fall and Spring, Each Year",Main Campus,0,0
ART-1133,2 Dimensional Design,3,"A study of the theory and practice of the creative process by focusing on the formal elements of art: line, shape, texture, form, space, color and value. Through intensive project-based experimentation, this course provides a foundation of visual thinking and conceptual problem solving for all majors in the Visual Arts program.",None,"Main Campus, Fall Semester, Each Year, All Other Locations, Fall Semester, Each Year","Main Campus, Off-Campus",0,0
ART-1223,Ceramics 1,3,"An introductory course in Ceramics that blends formal foundational design elements and studio experience in clay to provide an introduction into 3D Design. Students will learn how to create, critique, evaluate, and appreciate works of art through beginning hand building techniques such as pinch, coil, and slab work-introduction to wheel throwing and decorative techniques will be explored. An additional fee may be associated with this course.",Instructor consent required - Must be completed prior to taking this course.,Upon Sufficient Request,Main Campus,0,0
