course_code,course_title,credits_count,description,requisites,time_and_place_list,location,honors,core
ATG-2173,Prin of Financial Acctg,3,"A study of accounting vocabulary and skill building in the applications of Generally Accepted Accounting Principles to areas such as the accounting cycle, accounting information systems, financial statement preparation, cash and inventory control, receivables, fixed asset analysis, liabilities and payroll all viewed through the lens of a sole proprietor, partnership, and corporation.",None,"Main Campus, Fall and Spring, Each Year, Online, Spring A, Each Year","Main Campus, Online",0,0
ATG-2183,Principles of Managerial Acctg,3,"Study of basic concepts of management accounting, planning and control, management decision making, just-in-time operating, activity-based-costing, and financial statement analysis.",ATG 2173 - Must be completed prior to taking this course.,"Main Campus, Spring Semester, Each Year, Online, Spring B, Each Year","Main Campus, Online",0,0
BBL-3373,Church in Global Cntxt,3,"This interdisciplinary course will examine the theological, philosophical and anthropological diversity of Christian expression in the northern and southern hemispheres as expressed through different ecclesial traditions and informed by various cultural and historical contexts.",BBL 2013 - Must be completed prior to taking this course.,"Spring Semester, Each Year","Main Campus, Off-Campus",0,0
BBL-3413,NTBS: Gospel of John,3,"The course offers a critical and theological study of John's Gospel, addressing its composition, narrative, literary features, theology, and relation to the Synoptic Gospels and Johannine Letters, and the context-social, political, and religious-in which it was written. Special focus is placed on major topics in the interpretation and reception of John's Gospel through the ages, including Christology, signs, the Johannine community, and the Gospel's perspective on Judaism. Meets the Arts and Humanities requirement of the Core Curriculum.",BBL 1023 - Must be completed prior to taking this course.,"",Main Campus,0,1
BBL-3423,NTBS: Synoptic Gospels,3,"The course offers a critical and theological introduction to the study of the Synoptic Gospels (Matthew, Mark and Luke), with particular emphasis on their interrelations and a more detailed exploration of one of the Synoptics. The more detailed study addresses the composition, narrative, literary features and theology of the selected book and explores the context-social, political and religious-in which it was written. Special focus is placed on major topics in the selected Gospel's interpretation and reception through the ages. Meets the Arts and Humanities requirement of the Core Curriculum.",BBL 1023 - Must be completed prior to taking this course.,"","Main Campus, Off-Campus",0,1
BBL-3433,NTBS: Gospel of Luke & Acts,3,"An analysis of Luke and Acts. Emphases include the literary techniques, historical setting and message of the books. Students are exposed to critical issues related to the authorship, sources, dating and audience of these books. Meets the Arts and Humanities requirement of the Core Curriculum.",BBL 1023 - Must be completed prior to taking this course.,"",Main Campus,0,1
BBL-3443,NTBS: Pauline Epistles,3,"The course offers a critical and theological introduction to the letters of Paul and a more detailed exploration of one of Paul's letters. The course addresses major issues in the investigation of Paul's letters, life, and thought, while the more detailed study focuses on the composition, literary features and theology of the selected book, and explores the context-social, political and religious-in which it was written. Special focus is placed on major topics in the interpretation and reception of Paul's letters through the ages. Meets the Arts and Humanities requirement of the Core Curriculum.",BBL1023 - Must be completed prior to taking this course.,"","Main Campus, Off-Campus",0,1
BBL-3453,NTBS: Hebrews,3,"The course offers a critical and theological study of the Letter to the Hebrews addressing its composition, literary features and theology, and the context-social, political and religious-in which it was written. Special focus is placed on major topics in the interpretation and reception of Hebrews through the ages, including canonical status and relation to the Pauline corpus, warning passages, influence of Platonism and the issue of Torah observance among early followers of Jesus. Meets the Arts and Humanities requirement of the Core Curriculum.",BBL 1023 - Must be completed prior to taking this course.,"",Main Campus,0,1
BBL-3463,NTBS: Book of Revelation,3,"An in-depth analysis of the book of Revelation. Special emphasis is placed on major hermeneutical approaches to the book, as well as study of its contents, original contexts, missional implications and eschatological hope. Meets the Arts and Humanities requirement of the Core Curriculum.",BBL 1023 - Must be completed prior to taking this course.,"","Main Campus, Off-Campus",0,1
BBL-3473,NTBS: Parables of Jesus,3,"The course provides a detailed exploration of the parables of Jesus in their historical and literary contexts. Particular attention will be paid to different interpretive approaches, the relationship between parable and allegory, and the parables' diverse reception history through the centuries in various contexts and cultures. Meets the Arts and Humanities requirement of the Core Curriculum.",BBL 1023 or BBL 1093 - Must be completed prior to taking this course.,"",Main Campus,0,1
BBL-3613,OTBS: The Pentateuch,3,"A detailed study of a book, corpus or theme of the Pentateuch, emphasizing the acquisition of skills and practice in the task of Old Testament interpretation. Meets the Arts and Humanities requirement of the Core Curriculum.",BBL 1013 - Must be completed prior to taking this course.,"","Main Campus, Off-Campus",0,1
BBL-3623,OTBS: Historical Books of OT,3,"A detailed study of a book, corpus or theme of the Historical Books of the Old Testament, emphasizing the acquisition of skills and practice in the task of Old Testament interpretation. Meets the Arts and Humanities requirement of the Core Curriculum.",BBL 1013 - Must be completed prior to taking this course.,"",Main Campus,0,1
BBL-3633,OTBS: OT Poetry & Wisdom,3,"A detailed study of a book, corpus or theme of the Old Testament Poetry and Wisdom books, emphasizing the acquisition of skills and practice in the task of Old Testament interpretation. Meets the Arts and Humanities requirement of the Core Curriculum.",BBL 1013 - Must be completed prior to taking this course.,"","Main Campus, Off-Campus",0,1
BBL-3663,OTBS: Prophets,3,"A detailed study of a book, corpus or theme of the Old Testament Prophets, emphasizing the acquisition of skills and practice in the task of Old Testament interpretation. Meets the Arts and Humanities requirement of the Core Curriculum.",BBL 1013 - Must be completed prior to taking this course.,"","Main Campus, Off-Campus",0,1
BBL-4481,Selected Topics,1,"Topics are chosen from some area of Biblical Studies (Old Testament, New Testament, Biblical History, or Theology). The course affords an opportunity for the student to do independent study and research under the supervision of the instructor.",Junior standing - Must be completed prior to taking this course.,Upon Sufficient Request,Main Campus,0,0
BBL-4482,Selected Topics,2,"Topics are chosen from some area of Biblical Studies (Old Testament, New Testament, Biblical History, or Theology). The course affords an opportunity for the student to do independent study and research under the supervision of the instructor.",Junior standing - Must be completed prior to taking this course.,Upon Sufficient Request,Main Campus,0,0
BBL-4483,Selected Topics,3,"Topics are chosen from some area of Biblical Studies (Old Testament, New Testament, Biblical History, or Theology). The course affords an opportunity for the student to do independent study and research under the supervision of the instructor.",Junior standing - Must be completed prior to taking this course.,Upon Sufficient Request,"Main Campus, Online, Off-Campus, Lakeside Manor",0,0
BUS-1003,Intro to Business,3,"This course is an introduction to business and the private enterprise system from the perspective of the Christian world view. The purpose of this course is to provide foundational skills in areas that are critical for further studies in business, leading to a successful career launch.",None,"Main Campus, Fall and Spring, Each Year, Online, Fall A, Each Year","Main Campus, Online",0,0
BUS-1123,Business Communication,3,"Development of professional communication skills, both written and oral, in business. Includes mechanics, techniques, and psychological principles of effective business communications with emphasis on contemporary communication technologies.",EGL 1013 - Must be completed prior to taking this course.,"Main Campus, Fall and Spring, Each Year, Online, Spring A, Summer A, Each Year","Main Campus, Online",0,0
BUS-2193,Business Statistics,3,"A study of statistical theory as it applies in business settings. Topics include probability, distributions, descriptive statistics, estimation, hypothesis testing, regression and correlation, non-parametric methods, ANOVA, and statistical quality control. Meets the Mathematics requirement of the Core Curriculum.","Minimum ACT math score of 24, or minimum SAT math score of 580, or CLT math score of at least 21, or MTH 1113 (or higher) - Must be taken either prior to or at the same time as this course.","Main Campus, Spring Semester, Each Year, Online, Fall B, Each Year, All Other Locations, All Sessions, Every Year","Main Campus, Online, Off-Campus",0,1
BUS-3113,Spreadsheet Analytics,3,"Practice in using spreadsheets for various business applications. Emphasis will be placed on creating schedules, producing reports using pivot tables and graphs, and generating and updating macros through basic Visual coding.",None,"Main Campus, Fall and Spring, Each Year, Online, Fall A, Summer B, Each Year","Main Campus, Online",0,0
BUS-3990,Internship,0,"Supervised learning involving field experience in a business environment. Arrangements for taking the course must be made with the internship coordinator prior to the work being completed. This course is required for all College of Business majors for graduation and is available only to those students who are majoring in a degree program of the College of Business. Alternatively, the internship requirement can be satisfied by evidence of two years of full-time (2,000 hours per year or more), relevant work experience in a business environment. Documentation of experience is required. Same as ATG 3990.",Junior standing - Must be completed prior to taking this course.,"Main Campus, Fall and Spring, Each Year, Online, Fall B, Spring B, Summer B, Each Year, All Other Locations, All Sessions, Every Year","Main Campus, Online, Off-Campus",0,0
BUS-4253,Business Law and Ethics,3,"Basic legal principles that govern modern business transactions. Topics include contracts, real and personal property, agencies, employment, business formation, and Uniform Commercial Code. Emphasis on organizational ethics and compliance.",None,"Main Campus, Fall and Spring, Each Year, Online, Spring A, Summer B, Each Year","Main Campus, Online",0,0
