course_code,recommended
ART-2163,0
ART-2233,1
ART-2333,1
ART-2473,0
ART-3203,0
ART-3233,1
ART-3483,0
ART-3563,0
BBL-4453,0
MUS-1202,1
MUS-2083,0
MUS-2083,0
MUS-2133,0
MUS-3213,0
MUS-3343,0
MUS-3433,0
THE-2213,0
THE-3102,1
THE-3213,1
HST-2113,0
HST-2123,0
HST-2133,1
HST-2153,0
HST-3233,1
HST-3283,0
HST-3393,1
HST-3411,0
HST-3412,0
HST-3413,0
HST-3423,1
HST-3433,1
HST-3443,1
HST-3453,1
HST-3523,1
EGL-2243,1
EGL-2273,1
EGL-2483,0
EGL-3003,0
EGL-3043,0
EGL-3273,0
EGL-3283,0
EGL-3413,0
EGL-3713,0
EGL-4473,0
LS-3123,0
LSS-3554,0
LSS-3564,0
BBL-3413,1
BBL-3423,1
BBL-3433,1
BBL-3443,1
BBL-3453,1
BBL-3463,1
BBL-3473,1
BBL-3583,0
BBL-3613,0
BBL-3623,0
BBL-3633,0
BBL-3663,0
BBL-4433,0
PHL-2103,0
PHL-2323,0
PHL-2423,0
PHL-2483,0
PHL-3013,0
PHL-3323,0
PHL-3343,0
PHL-3353,0
PHL-4433,0
PHL-4481,0
PHL-4482,0
PHL-4483,0
POL-3003,1
PPE-2213,0
PPE-2133,0
REL-3533,0
REL-3543,0
REL-4481,0
REL-4482,0
REL-4483,0
