course_code,recommended
CMF-2153,0
CMF-2353,0
CMF-3453,0
CMF-4463,0
CMF-4473,0
ECN-2003,1
ECN-2113,1
ECN-2123,0
ECN-2543,0
ECN-3133,0
ECN-3153,0
ECN-3163,0
ECN-3213,0
ECN-4103,0
ECN-4123,0
ECN-4413,0
ECN-4423,0
ECN-4993,0
EN-4343,0
PPE-2113,0
PPE-2133,0
LS-2173,0
POL-1013,1
POL-1093,0
POL-2213,1
POL-3163,0
POL-3173,0
POL-3213,1
POL-3223,0
POL-3253,0
POL-3353,0
POL-3453,0
POL-4213,0
POL-4223,0
ED-2143,0
FAM-2143,1
FAM-2243,0
FAM-2413,0
FAM-2633,0
FAM-3243,1
FAM-3273,0
FAM-3413,0
FAM-3653,0
FAM-4253,0
FAM-4443,0
FAM-4483,0
PSY-1013,1
PSY-1093,0
PSY-2123,0
PSY-2413,1
PSY-2383,0
PSY-3203,0
PSY-3303,0
PSY-3333,0
PSY-3411,0
PSY-3412,0
PSY-3413,0
PSY-3493,0
PSY-4213,0
PSY-4333,0
PSY-4353,0
PSY-4411,0
PSY-4412,0
PSY-4413,0
PSY-4493,0
ED-1143,0
ICS-2123,1
SST-1113,0
