course_code,course_title,credits_count,description,requisites,time_and_place_list,location,honors,offered_main_campus_fall,offered_main_campus_spring,offered_main_campus_even_year,offered_main_campus_odd_year
ATG-2173,Prin of Financial Acctg,3,"A study of accounting vocabulary and skill building in the applications of Generally Accepted Accounting Principles to areas such as the accounting cycle, accounting information systems, financial statement preparation, cash and inventory control, receivables, fixed asset analysis, liabilities and payroll all viewed through the lens of a sole proprietor, partnership, and corporation.",None,"Main Campus, Fall and Spring, Each Year, Online, Spring A, Each Year","Main Campus, Online",0,0,0,0,0
ATG-2183,Principles of Managerial Acctg,3,"Study of basic concepts of management accounting, planning and control, management decision making, just-in-time operating, activity-based-costing, and financial statement analysis.",ATG 2173 - Must be completed prior to taking this course.,"Main Campus, Spring Semester, Each Year, Online, Spring B, Each Year","Main Campus, Online",0,0,0,0,0
BBL-3373,Church in Global Cntxt,3,"This interdisciplinary course will examine the theological, philosophical and anthropological diversity of Christian expression in the northern and southern hemispheres as expressed through different ecclesial traditions and informed by various cultural and historical contexts.",BBL 2013 - Must be completed prior to taking this course.,"Spring Semester, Each Year","Main Campus, Off-Campus",0,0,0,0,0
BBL-4481,Selected Topics,1,"Topics are chosen from some area of Biblical Studies (Old Testament, New Testament, Biblical History, or Theology). The course affords an opportunity for the student to do independent study and research under the supervision of the instructor.",Junior standing - Must be completed prior to taking this course.,Upon Sufficient Request,Main Campus,0,0,0,0,0
BBL-4482,Selected Topics,2,"Topics are chosen from some area of Biblical Studies (Old Testament, New Testament, Biblical History, or Theology). The course affords an opportunity for the student to do independent study and research under the supervision of the instructor.",Junior standing - Must be completed prior to taking this course.,Upon Sufficient Request,Main Campus,0,0,0,0,0
BBL-4483,Selected Topics,3,"Topics are chosen from some area of Biblical Studies (Old Testament, New Testament, Biblical History, or Theology). The course affords an opportunity for the student to do independent study and research under the supervision of the instructor.",Junior standing - Must be completed prior to taking this course.,Upon Sufficient Request,"Main Campus, Online, Off-Campus, Lakeside Manor",0,0,0,0,0
BUS-1003,Intro to Business,3,"This course is an introduction to business and the private enterprise system from the perspective of the Christian world view. The purpose of this course is to provide foundational skills in areas that are critical for further studies in business, leading to a successful career launch.",None,"Main Campus, Fall and Spring, Each Year, Online, Fall A, Each Year","Main Campus, Online",0,0,0,0,0
BUS-1123,Business Communication,3,"Development of professional communication skills, both written and oral, in business. Includes mechanics, techniques, and psychological principles of effective business communications with emphasis on contemporary communication technologies.",EGL 1013 - Must be completed prior to taking this course.,"Main Campus, Fall and Spring, Each Year, Online, Spring A, Summer A, Each Year","Main Campus, Online",0,0,0,0,0
BUS-3113,Spreadsheet Analytics,3,"Practice in using spreadsheets for various business applications. Emphasis will be placed on creating schedules, producing reports using pivot tables and graphs, and generating and updating macros through basic Visual coding.",None,"Main Campus, Fall and Spring, Each Year, Online, Fall A, Summer B, Each Year","Main Campus, Online",0,0,0,0,0
BUS-3990,Internship,0,"Supervised learning involving field experience in a business environment. Arrangements for taking the course must be made with the internship coordinator prior to the work being completed. This course is required for all College of Business majors for graduation and is available only to those students who are majoring in a degree program of the College of Business. Alternatively, the internship requirement can be satisfied by evidence of two years of full-time (2,000 hours per year or more), relevant work experience in a business environment. Documentation of experience is required. Same as ATG 3990.",Junior standing - Must be completed prior to taking this course.,"Main Campus, Fall and Spring, Each Year, Online, Fall B, Spring B, Summer B, Each Year, All Other Locations, All Sessions, Every Year","Main Campus, Online, Off-Campus",0,0,0,0,0
